sub	run	n_vol	n_censor	p_censor	n_vol_blocks	n_censor_blocks	p_censor_blocks	n_vol_food	n_censor_food	p_censor_food
007	1.0	78.0	17.0	21.8	54.0	10.0	18.5	36.0	8.0	22.2
007	2.0	78.0	25.0	32.1	54.0	15.0	27.8	36.0	12.0	33.3
007	3.0	78.0	25.0	32.1	54.0	14.0	25.9	36.0	13.0	36.1
007	4.0	78.0	29.0	37.2	54.0	17.0	31.5	36.0	10.0	27.8
007	5.0	78.0	35.0	44.9	54.0	19.0	35.2	36.0	12.0	33.3
054	1.0	78.0	2.0	2.6	54.0	1.0	1.9	36.0	0.0	0.0
054	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
054	3.0	78.0	11.0	14.1	54.0	6.0	11.1	36.0	6.0	16.7
054	4.0	78.0	9.0	11.5	54.0	5.0	9.3	36.0	5.0	13.9
054	5.0	78.0	7.0	9.0	54.0	5.0	9.3	36.0	3.0	8.3
043	1.0	78.0	18.0	23.1	54.0	8.0	14.8	36.0	6.0	16.7
043	2.0	78.0	17.0	21.8	54.0	9.0	16.7	36.0	6.0	16.7
043	3.0	78.0	17.0	21.8	54.0	10.0	18.5	36.0	5.0	13.9
043	4.0	78.0	22.0	28.2	54.0	14.0	25.9	36.0	6.0	16.7
043	5.0	78.0	16.0	20.5	54.0	10.0	18.5	36.0	6.0	16.7
126	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
126	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
126	3.0	78.0	3.0	3.8	54.0	1.0	1.9	36.0	1.0	2.8
126	4.0	78.0	10.0	12.8	54.0	5.0	9.3	36.0	4.0	11.1
126	5.0	78.0	6.0	7.7	54.0	2.0	3.7	36.0	2.0	5.6
038	1.0	78.0	19.0	24.4	54.0	14.0	25.9	36.0	11.0	30.6
038	2.0	78.0	14.0	17.9	54.0	11.0	20.4	36.0	8.0	22.2
038	3.0	78.0	21.0	26.9	54.0	13.0	24.1	36.0	11.0	30.6
038	4.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
038	5.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	0.0	0.0
036	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
036	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
036	3.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
036	4.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
036	5.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	1.0	2.8
018	1.0	78.0	4.0	5.1	54.0	3.0	5.6	36.0	3.0	8.3
018	2.0	78.0	13.0	16.7	54.0	7.0	13.0	36.0	6.0	16.7
018	3.0	78.0	37.0	47.4	54.0	23.0	42.6	36.0	16.0	44.4
018	4.0	78.0	31.0	39.7	54.0	24.0	44.4	36.0	17.0	47.2
018	5.0	78.0	19.0	24.4	54.0	15.0	27.8	36.0	9.0	25.0
119	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
119	2.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	1.0	2.8
119	3.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
119	4.0	78.0	2.0	2.6	54.0	2.0	3.7	36.0	2.0	5.6
119	5.0	78.0	5.0	6.4	54.0	2.0	3.7	36.0	2.0	5.6
056	1.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	1.0	2.8
056	2.0	78.0	12.0	15.4	54.0	5.0	9.3	36.0	5.0	13.9
056	3.0	78.0	10.0	12.8	54.0	4.0	7.4	36.0	2.0	5.6
056	4.0	78.0	7.0	9.0	54.0	4.0	7.4	36.0	2.0	5.6
056	5.0	78.0	14.0	17.9	54.0	8.0	14.8	36.0	6.0	16.7
049	1.0	78.0	3.0	3.8	54.0	2.0	3.7	36.0	0.0	0.0
049	2.0	78.0	10.0	12.8	54.0	3.0	5.6	36.0	3.0	8.3
049	3.0	78.0	18.0	23.1	54.0	12.0	22.2	36.0	11.0	30.6
049	4.0	78.0	9.0	11.5	54.0	5.0	9.3	36.0	4.0	11.1
049	5.0	78.0	15.0	19.2	54.0	8.0	14.8	36.0	8.0	22.2
132	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
132	2.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
132	3.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
132	4.0	78.0	3.0	3.8	54.0	0.0	0.0	36.0	0.0	0.0
132	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
031	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
031	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
031	3.0	78.0	4.0	5.1	54.0	4.0	7.4	36.0	4.0	11.1
031	4.0	78.0	9.0	11.5	54.0	8.0	14.8	36.0	8.0	22.2
031	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
101	1.0	78.0	3.0	3.8	54.0	2.0	3.7	36.0	0.0	0.0
101	2.0	78.0	13.0	16.7	54.0	10.0	18.5	36.0	9.0	25.0
101	3.0	78.0	15.0	19.2	54.0	9.0	16.7	36.0	8.0	22.2
101	4.0	78.0	22.0	28.2	54.0	16.0	29.6	36.0	8.0	22.2
101	5.0	78.0	6.0	7.7	54.0	4.0	7.4	36.0	3.0	8.3
080	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
080	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
080	3.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
080	4.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
